",butai ,""BVP"",mokesciai"
1993,,,
1994,,,
1995,,7764.5,
1996,,9714.1,
1997,,11724.3,
1998,,13022.0,
1999,,12712.1,
2000,,13368.2,
2001,,14194.5,
2002,,15202.2,
2003,,16668.5,
2004,,18237.7,
2005,47.0,21002.4,
2006,39.6,24079.2,
2007,37.0,29040.7,6026952
2008,37.0,32696.3,7021958
2009,43.8,26934.8,4843829
2010,81.7,28027.7,4625398
2011,77.3,31275.3,5113781
2012,68.5,33348.2,5520730
2013,71.2,35002.1,5759345
2014,66.0,36590.0,6115831
2015,98.3,37330.5,6542572
